273,Khumbu Himal (NE of Cho Oyu on Tibetan border),4
274,Peri Himal (NW of Himlung Himal),3
275,Annapurna-Nilgiri Himal (NW of Annapurna I),3
276,Annapurna-Nilgiri Himal (NNW of Annapurna I),3
277,"Damodar Himal (WNW of Pisang Peak, E of Chulu East Peak)",3
278,Khumbu Himal (NW of Lobuje Peak),3
279,Rolwaling Himal (SW of Namche Bazar),3
280,"Khumbu Himal (S of Cho Polu, N of Baruntse)",3
281,Khumbu Himal (E of Nuptse main summit),3
282,Khumbu Himal (ESE of Nangpa La on Tibetan border),4
283,Khumbu Himal (N of Nup La on Tibetan border),4
284,Khumbu Himal (SW of Everest),3
285,Khumbu Himal (NW of Nuptse main summit),3
286,Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border),4
287,Khumbu Himal (SE of Ama Dablam),3
288,Ohmi Kangri Himal (NE of Ombak La in Tibet),1
289,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),4
290,Khumbu Himal (NNE of Kangtega),3
291,Ganesh Himal (SE of  Ganesh V),3
292,Shringi Himal (N of Chamar on Tibetan border),4
293,Manaslu Himal (NE of Sama village near Tibetan border),3
294,Peri Himal (NW of Larkya La),3
295,Ohmi Kangri Himal (NW of Lhonak),3
296,Rolwaling Himal (N of Menlung La on Tibetan border),4
297,Rolwaling Himal (NE of Pangbuk Ri on Tibetan border),4
298,Rolwaling Himal (W of Tengkangpoche),3
299,Rolwaling Himal (S of Tesi Laptsa),3
300,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),4
301,Ganesh Himal (N of Lampo on Tibetan border),4
302,Pawar Himal (N of Larkya La),3
303,Ohmi Kangri Himal (E of Nangamari I on Tibetan border),4
304,Jugal Himal (NNW of Dorje Lhakpa on Tibetan border),4
305,Jugal Himal (N of Pemthang Karpo Ri on Tibetan border),4
306,Peri Himal (SE of Cheo Himal on Tibetan border),4
307,Langtang Himal (SE of Langtang Ri on Tibetan border),4
308,Khumbu Himal (NW of Makalu on Tibetan border),4
309,Peri Himal (SE of Ratna Chuli on Tibetan border),4
310,Manaslu Himal (W of Manaslu),3
311,Kangchenjunga Himal (W of Kumbhakarna and Sobitongie),3
312,Peri Himal (SE of Cheo on Tibetan border),4
313,Peri Himal (N of Cheo Himal on Tibetan border),4
314,Jugal Himal (SE of Dorje Lhakpa on Tibetan border),4
315,Damodar Himal (N of Marysangdi Valley),3
316,Khumbu Himal (SE of Baruntse),3
317,Manaslu Himal (S of Manaslu),3
318,Khumbu Himal (ESE of Ama Dablam),3
319,Manaslu Himal (ENE of Samagaon on Tibetan border),4
320,North of Cho Oyu (in Tibet),1
321,"Khumbu Himal (N of Cholatse, S of Tshola La)",3
322,Damodar Himal (N of Pisang Peak),3
